Date,Channel,Currency,Exchange,success,pump_date
2019-01-02T15:44:53Z,Binance Signals ®,BRD,Binance,0,
2019-01-07T14:27:13Z,Whales Crypto Guide,LOOM,Binance,1,2019-01-07T14:25:00Z
2019-01-08T16:00:00Z,Binance Profit Signal,EVX,Binance,1,2019-01-08T16:00:00Z
2019-01-20T17:59:18Z,Mega Pump Group,GXS,Binance,1,2019-01-20T17:59:00Z
2019-01-25T18:00:13Z,Crypto Pump Island,HC,Binance,1,2019-01-25T17:59:00Z
2019-01-27T17:59:53Z,Mega Pump Group,WINGS,Binance,1,2019-01-27T17:59:00Z
2019-01-28T11:47:52Z,Crypto Trading.,WINGS,Binance,0,
2019-01-29T14:00:23Z,Bitcoin Pump Group,BQX,Binance,1,2019-01-29T13:35:00Z
2019-02-02T16:59:47Z,𝘾𝙧𝙮𝙥𝙩𝙤 𝙈𝙖𝙧𝙠𝙚𝙩 𝙎𝙞𝙜𝙣𝙖𝙡,RDN,Binance,1,2019-02-02T16:59:00Z
2019-02-02T17:59:54Z,Mega Pump Group,GRS,Binance,1,2019-02-02T17:58:00Z
2019-02-03T15:04:02Z,Whales Crypto Guide,VIA,Binance,1,2019-02-03T15:04:00Z
2019-02-04T14:21:59Z,Crypto Tree 🎄,WTC,Binance,0,
2019-02-04T16:29:49Z,Trading Crypto Coach®,STORJ,Binance,1,2019-02-04T16:29:00Z
2019-02-08T16:30:43Z,𝘾𝙧𝙮𝙥𝙩𝙤 𝙈𝙖𝙧𝙠𝙚𝙩 𝙎𝙞𝙜𝙣𝙖𝙡,SUB,Binance,1,2019-02-08T16:30:00Z
2019-02-10T17:59:58Z,Mega Pump Group,GXS,Binance,1,2019-02-10T17:59:00Z
2019-02-14T15:00:29Z,𝘾𝙧𝙮𝙥𝙩𝙤 𝙈𝙖𝙧𝙠𝙚𝙩 𝙎𝙞𝙜𝙣𝙖𝙡,REQ,Binance,0,
2019-02-16T18:00:08Z,Mega Pump Group,EDO,Binance,1,2019-02-16T18:00:00Z
2019-02-23T16:59:54Z,Mega Pump Group,HC,Binance,1,2019-02-23T16:59:00Z
2019-02-24T17:00:11Z,DA PUMP,BQX,Binance,0,
2019-02-26T12:16:51Z,Crypto Tree 🎄,STEEM,Binance,0,
2019-02-27T15:29:32Z,Crypto Tree 🎄,BRD,Binance,0,
2019-02-27T17:00:02Z,Binance Pump Tracker™,SYS,Binance,1,2019-02-27T16:59:00Z
2019-02-28T18:00:13Z,𝘾𝙧𝙮𝙥𝙩𝙤 𝙂𝙪𝙧𝙪® 𝘽𝙞𝙣𝙖𝙣𝙘𝙚 𝙎𝙞𝙜𝙣𝙖𝙡𝙨,EVX,Binance,0,
2019-03-01T17:44:01Z,Crypto Tree 🎄,DATA,Binance,0,
2019-03-01T18:08:14Z,Crypto Tree 🎄,DATA,Binance,0,
2019-03-01T18:28:37Z,Crypto Tree 🎄,DATA,Binance,0,
2019-03-02T14:00:56Z,Crypto Pump Island,AST,Binance,1,2019-03-02T13:59:00Z
2019-03-03T14:10:46Z,Crypto Tree 🎄,MDA,Binance,0,
2019-03-04T06:49:58Z,Crypto Tree 🎄,LOOM,Binance,0,
2019-03-05T16:30:15Z,Wolf of trading Signals,GRS,Binance,1,2019-03-05T16:30:00Z
2019-03-08T16:00:37Z,𝘾𝙧𝙮𝙥𝙩𝙤 𝙂𝙪𝙧𝙪® 𝘽𝙞𝙣𝙖𝙣𝙘𝙚 𝙎𝙞𝙜𝙣𝙖𝙡𝙨,POLY,Binance,1,2019-03-08T16:00:00Z
2019-03-08T16:30:00Z,Wolf of trading Signals,AMB,Binance,1,2019-03-08T16:30:00Z
2019-03-09T17:51:49Z,Crypto Tree 🎄,BNT,Binance,0,
2019-03-10T01:44:17Z,Crypto Tree 🎄,BAT,Binance,0,
2019-03-10T02:45:30Z,Crypto Tree 🎄,BNT,Binance,0,
2019-03-10T19:00:18Z,Maximum Pump,OAX,Binance,1,2019-03-10T18:51:00Z
2019-03-11T03:29:45Z,Crypto Tree 🎄,VIB,Binance,0,
2019-03-11T06:02:35Z,Crypto Tree 🎄,TUSD,Binance,0,
2019-03-11T13:53:42Z,Crypto Tree 🎄,ARK,Binance,0,
2019-03-11T19:23:57Z,Crypto Tree 🎄,MCO,Binance,0,
2019-03-12T01:23:57Z,Crypto Tree 🎄,THETA,Binance,0,
2019-03-12T14:35:04Z,Crypto Tree 🎄,DCR,Binance,0,
2019-03-12T16:12:52Z,Crypto Tree 🎄,RLC,Binance,0,
2019-03-12T16:32:50Z,Crypto Tree 🎄,NANO,Binance,1,2019-03-12T16:33:00Z
2019-03-12T17:39:12Z,Crypto Tree 🎄,EDO,Binance,0,
2019-03-13T08:18:44Z,Crypto Tree 🎄,AGI,Binance,0,
